code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
PMTR,Perimeter Acquisition Corp. I Class A Ordinary Shares,10.43,14,17,12,11,8,7,3,72,2.0,82.0,Strong,Enter w/ confidence,60,0.1,0.2,0.1,56.7,1,,Financial Services,321509984.0,41703.02
PRLPF,Propel Holdings Inc.,18.73,17,13,13,10,8,7,5,73,2.0,78.0,Strong,Enter w/ confidence,58,5.5,2.1,3.3,59.8,0,,Financial Services,737453376.0,15864.0
HZNOF,Dexterra Group Inc,10.88,20,9,11,13,6,8,5,72,-1.0,76.0,Strong,Enter w/ confidence,62,7.9,6.9,7.2,79.9,0,,Industrials,630008512.0,0.0
EDF,Stone Harbor Emerging Markets Income Fund,5.37,16,16,4,16,5,8,5,70,2.0,75.0,Strong,Enter w/ confidence,57,2.9,-1.1,1.4,57.0,0,,Financial Services,100389600.0,171954.78
BLGRX,BMO LARGE-CAP GROWTH FUND CLASS R6,11.694,16,14,13,10,6,6,4,69,0.0,74.0,Strong,Enter w/ confidence,51,3.0,1.3,2.1,60.4,1,,nan,0.0,21282.59
MSSGX,SMALL COMPANY GROWTH PORTFOLIO CLASS I,17.97,18,10,10,9,6,11,3,67,2.0,74.0,Strong,🔥 COILED: Enter w/ confidence,62,5.1,3.5,3.2,59.5,0,,nan,0.0,0.0
MFLLX,SMALL COMPANY GROWTH PORTFOLIO CLASS IS,18.19,18,10,10,9,6,11,3,67,2.0,74.0,Strong,🔥 COILED: Enter w/ confidence,62,5.1,3.5,3.1,59.5,0,,nan,0.0,0.0
KURE,KraneShares MSCI All China Health Care Index ETF,19.34,18,10,5,11,7,11,4,66,3.0,74.0,Strong,Enter w/ confidence,61,7.6,3.3,4.5,62.2,1,,nan,nan,42600.0
LIMIX,LATEEF FOCUSED GROWTH FUND CLASS I,8.5,15,10,11,9,8,7,3,63,2.0,73.0,Strong,🔥 COILED: Enter w/ confidence,54,2.7,0.1,1.0,54.7,0,,nan,0.0,0.0
SUZ,Suzano Papel e Celulose SA ADR,9.55,15,10,11,11,6,12,5,70,3.0,73.0,Strong,Enter w/ confidence,59,3.5,3.5,4.9,67.7,0,,Basic Materials,11761404928.0,3205903.13
HGKGY,Power Assets Holdings Ltd,7.98,12,14,7,15,7,11,4,70,2.0,72.0,Strong,Enter w/ confidence,54,5.0,3.2,3.4,59.4,0,,Utilities,17070152704.0,2217.25
MSSLX,SMALL COMPANY GROWTH PORTFOLIO CLASS L,9.6,18,10,10,9,6,11,3,67,2.0,72.0,Strong,Enter w/ confidence,62,5.0,3.4,3.1,59.3,0,,nan,0.0,0.0
ETV,Eaton Vance Tax Managed Buy Write Opportunities Closed Fund,15.43,17,6,8,14,7,11,4,67,2.0,72.0,Strong,Enter w/ confidence,67,2.6,0.3,1.3,58.2,1,,Financial Services,1593821000.0,182926.84
NHP,"National Healthcare Properties, Inc.",16.3,13,14,9,11,9,7,2,65,2.0,72.0,Strong,🔥 COILED: Enter w/ confidence,0,2.0,-1.2,0.7,52.7,1,,Real Estate,1188349440.0,0.0
HKUOY,Hakuhodo DY Holdings Inc ADR,17.2,11,10,10,15,6,4,5,61,3.0,72.0,Strong,Enter w/ confidence,55,1.6,-0.9,2.1,63.1,0,,Communication Services,3114069760.0,0.0
PEB-PH,Pebblebrook Hotel Trust,18.5,12,14,9,14,5,7,3,64,4.0,72.0,Strong,Enter w/ confidence,70,0.3,0.0,0.4,56.3,1,,Real Estate,nan,16858.67
MSOS,AdvisorShares Pure US Cannabis ETF,5.33,18,13,13,8,6,12,5,75,-5.0,71.0,Strong,Enter w/ confidence,70,8.1,4.3,8.2,67.5,0,,nan,nan,8248197.14
VIRC,Virco Manufacturing Corporation,6.68,16,13,7,15,6,10,5,72,-2.0,71.0,Strong,Enter w/ confidence,64,8.1,9.3,7.3,65.9,2,,Consumer Cyclical,105302280.0,50350.2
JRSAX,INTECH U.S. MANAGED VOLATILITY FUND CLASS A,13.14,13,14,8,7,8,8,3,61,2.0,71.0,Strong,🔥 COILED: Enter w/ confidence,50,1.7,-0.2,0.8,54.1,0,,nan,0.0,0.0
BLZAX,BlackRock Advantage ESG Emerging Markets Equity Fund Investor A,14.65,18,12,13,7,6,7,4,67,1.0,71.0,Strong,Enter w/ confidence,61,4.4,1.1,3.0,61.5,0,,nan,nan,0.0
FICGX,FIRST INVESTORS SELECT GROWTH FUND CLASS A,16.1,18,12,13,7,6,4,4,64,2.0,71.0,Strong,🔥 COILED: Enter w/ confidence,57,2.0,1.1,1.6,59.9,0,,nan,0.0,0.0
FSCO,FS Credit Opportunities Corp.,5.52,17,11,8,16,6,7,5,70,-1.0,70.0,Strong,Enter w/ confidence,65,5.3,4.7,5.1,73.8,0,,Financial Services,1116528512.0,1354856.7
LIMAX,LATEEF FOCUSED GROWTH FUND CLASS A,7.5,15,10,11,9,8,7,3,63,2.0,70.0,Strong,🔥 COILED: Enter w/ confidence,52,2.7,0.3,1.1,55.1,0,,nan,0.0,0.0
SMQFX,SIIT EMERGING MARKETS EQUITY FUND,12.58,16,10,12,9,6,7,4,64,1.0,70.0,Strong,🔥 COILED: Enter w/ confidence,63,3.5,-0.2,2.0,61.1,0,,nan,0.0,0.0
DWAFX,ARROW DWA BALANCED FUND,13.32,18,10,13,7,6,6,4,64,1.0,70.0,Strong,🔥 COILED: Enter w/ confidence,66,0.7,0.4,1.0,63.7,0,,nan,0.0,0.0
FGKPX,Fidelity SAI Emerging Markets Low Volatility Index Fund,13.63,12,11,10,9,6,11,4,63,2.0,70.0,Strong,🔥 COILED: Enter w/ confidence,63,1.8,-0.1,0.8,56.8,0,,nan,nan,0.0
PEIFX,PIMCO RAE FUNDAMENTAL EMERGING MARKETS FUND INSTITUTIONAL CLASS,14.43,18,7,13,9,6,7,4,64,1.0,70.0,Strong,🔥 COILED: Enter w/ confidence,66,2.6,0.8,2.1,68.8,0,,nan,0.0,0.0
TSMY,YieldMax TSM Option Income Strategy ETF,15.7,15,14,10,14,4,6,5,68,1.0,70.0,Strong,Enter w/ confidence,30,6.7,0.6,3.1,59.6,0,,nan,nan,162971.45
FSYHX,Fidelity Aberdeen Street Trust - Sustainable Target Date 2045 Fund,16.83,18,10,11,9,6,8,3,65,2.0,70.0,Strong,Enter w/ confidence,60,2.6,0.3,1.1,57.4,0,,nan,nan,0.0
FSYQX,Fidelity Aberdeen Street Trust - Advisor Sustainable Target Date 2045 Fund,16.87,18,10,11,9,6,8,3,65,2.0,70.0,Strong,Enter w/ confidence,60,2.6,0.3,1.1,57.3,0,,nan,nan,0.0
FSYSX,Fidelity Aberdeen Street Trust - Advisor Sustainable Target Date 2045 Fund,16.9,18,10,11,9,6,8,3,65,2.0,70.0,Strong,Enter w/ confidence,60,2.6,0.4,1.2,57.6,0,,nan,nan,0.0
FSYVX,Fidelity Aberdeen Street Trust - Sustainable Target Date 2045 Fund,16.9,18,10,11,9,6,8,3,65,2.0,70.0,Strong,Enter w/ confidence,60,2.6,0.3,1.1,57.5,0,,nan,nan,0.0
FSYUX,Fidelity Aberdeen Street Trust - Sustainable Target Date 2045 Fund,16.9,18,10,11,9,6,8,3,65,2.0,70.0,Strong,Enter w/ confidence,60,2.6,0.4,1.2,57.6,0,,nan,nan,0.0
FSYWX,Fidelity Aberdeen Street Trust - Sustainable Target Date 2050 Fund,16.9,18,10,11,9,6,8,3,65,2.0,70.0,Strong,Enter w/ confidence,60,2.6,0.4,1.2,57.5,0,,nan,nan,0.0
FSZCX,Fidelity Aberdeen Street Trust - Advisor Sustainable Target Date 2050 Fund,16.96,18,10,11,9,6,8,3,65,2.0,70.0,Strong,Enter w/ confidence,60,2.7,0.4,1.2,57.7,0,,nan,nan,0.0
