code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
SDHI,Siddhi Acquisition Corp Class A Common stock,10.5,19,8,10,16,6,2,3,64,2.0,74.0,Strong,Enter w/ confidence,65,0.2,0.2,0.3,78.5,0,,Financial Services,365799008.0,47082.68
RALIX,Lazard Real Assets and Pricing Opport Po,11.8,18,12,11,9,4,11,3,68,0.0,73.0,Strong,🔥 COILED: Enter w/ confidence,50,1.0,0.9,0.6,57.2,0,,nan,0.0,0.0
RALOX,Lazard Real Assets and Pricing Opport Po,11.81,18,12,11,9,4,11,3,68,0.0,73.0,Strong,🔥 COILED: Enter w/ confidence,50,1.0,0.9,0.6,57.3,0,,nan,0.0,0.0
TRVI,Trevi Therapeutics  Inc,18.84,16,16,11,14,6,7,4,74,-1.0,73.0,Strong,Enter w/ confidence,62,5.8,0.5,3.7,57.8,1,,Healthcare,2684244736.0,1777951.56
BPAQF,BP p.l.c,7.2,18,11,6,15,4,8,5,67,2.0,72.0,Strong,Enter w/ confidence,55,5.9,-1.6,2.7,55.2,1,,Energy,111254781952.0,42802.27
APAC,Stonebridge Acquisition Corp,12.42,16,12,3,16,9,5,5,66,2.0,71.0,Strong,Enter w/ confidence,43,10.7,32.2,5.4,51.6,2,,Financial Services,82194760.0,0.0
NLCP,Newlake Capital Partners Inc,16.0,16,14,11,9,6,9,4,69,1.0,71.0,Strong,Enter w/ confidence,66,1.5,1.6,1.5,61.0,0,,Real Estate,335254496.0,92459.32
ALEFX,ALPS/ALERIAN ENERGY INFRASTRUCTURE PORTFOLIO CLASS III,16.45,18,12,8,9,6,11,3,67,1.0,71.0,Strong,Enter w/ confidence,60,3.0,4.0,2.6,61.1,0,,Other,0.0,0.0
VADIX,VIRTUS ALTERNATIVES DIVERSIFIER FUND CLASS I,17.88,17,9,11,7,6,11,3,64,2.0,71.0,Strong,🔥 COILED: Enter w/ confidence,59,0.8,1.0,0.6,59.8,0,,nan,0.0,0.0
PFATX,PIMCO FUNDAMENTAL ADVANTAGE ABSOLUTE RETURN STRATEGY FUND INSTITUTIONAL,8.93,18,12,9,9,6,7,3,64,1.0,70.0,Strong,🔥 COILED: Enter w/ confidence,60,2.1,2.1,1.8,64.7,0,,nan,0.0,0.0
